,"ring","subring","add one sim","add one sub","bytes","duration","bandwidth"
2,12800.3,36082.43,12556.31,34345.65,97834125.99,7395392.67,26479.73
3,12870.43,38891.61,12398.46,34717.96,97679666.21,7398441.9,26368.69
5,13046.43,38743.53,11996.51,34719.8,96738273.17,7398011.61,26117.77
10,13302.59,45584.62,12285.31,34693.79,98096202.5,7403080.22,26491.2
20,13464.02,61500.13,12087.43,34823.92,96926829.47,7415584.85,26193.25
50,14257.62,95137.1,11652.34,35685.27,116096427.26,7447573.01,31193.24
100,16521.71,124749.54,10634.99,36397.41,188057665.87,7474234.16,50229.47
200,21776,155974.87,10487.55,36120.75,453518045.23,7502893.4,120818.26
300,27125.49,162272.34,9569.21,35828.08,898404676.55,7495778.32,237633.68
"s2",12771.31,41478.17,12268.29,40145.61,98428356.49,7407365.59,26640.36
"s3",12924.55,38847.52,12485.9,39653.07,98015213.4,7404987.15,26456.35
"s5",13129.96,43505.75,12511.79,38487.45,97437751.14,7408367.73,26237.33
"s100",13335.98,58312.76,12330.73,39753.08,102570934.87,7420100.08,27568.28
"s20",13498.88,64414.48,11760.74,41042.69,100349404.79,7426539.06,26990.63
"s50",14291.77,101451.72,11831.53,40458.61,126838682.14,7457542.32,33856.49
"s100",18172.34,136660.47,11083,40638.88,210496199.21,7490245.1,56240.98
"s200",22327.62,155025.32,10030.09,41596.05,512382708.52,7508551.7,136220.22
"s300",26816.15,178262.46,9423.8,41170.97,990137713.71,7516794.18,263780.69
